adjudication_key	base_state	current_state
literal:8a44c4cd00b7775f36f52a79904eb3b9dd674a86f8601cbd8c58896fe514ae47	null	"[""boundary"",""maintainer adjudication: declared security or interface boundary""]"
literal:8bc33db8aadea77828b539a60ee30073c52f5ee1e11b208e1ddb6db65579e687	"[""boundary"",""maintainer adjudication: review-and-fix CONFIG_ROUTING: Pins the config lookup path and default used for routing.""]"	null
literal:8d594892ca8e0c5ad44de919ba7513c70a87cf73354b0f9b0aac4e47ed481a60	"[""boundary"",""maintainer adjudication: declared security or interface boundary""]"	null
literal:9b89514d231e20c5e4b1cf6f9ae139593fbeec33a60076af806c49a8d4ea60d2	"[""boundary"",""maintainer adjudication: review SL: stale-lint helper/sentinel boundary: #424 T11 engine arm(a) names provision_env as the precondition of the config bridge""]"	null
literal:9f18a65bf33cbe0231711b82540d53a7e83a794383befe76c560e5aa8b1ffc9e	"[""boundary"",""Retain routing/state-transition contract: #815 the reference sources parent-derived slots from the Phase 1.1 cache.""]"	null
literal:a031966647a68a8c24d73a3726505c3649796409d85dff2dfb16abe2a4641d68	null	"[""boundary"",""maintainer adjudication: review SL: stale-lint helper/sentinel boundary: #424 T12 Phase 0.6 pipes the cached diff into the helper (proven cloud shape)""]"
literal:a737dab9583fe09ac2f851bf0e4854674e9a4ceec41291de50f0810395c2068c	"[""boundary"",""maintainer adjudication: declared security or interface boundary""]"	null
literal:a8ac1bd46ae69c8d97ae7a15a91a831a817a304dc173bc4039b88cca24429049	"[""boundary"",""maintainer adjudication: declared security or interface boundary""]"	null
literal:ab46f3fdeeee8f4f182334f0cc5936a9a24e90bbb5f541b2193b491d4f565328	"[""boundary"",""maintainer adjudication: create-issue CF: fail-closed config/capability gate or reason-selection contract: SKILL documents the type-tolerant jq fallback read of workflows.devflow (repo-root anchored, string-truthy, top-level-tolerant)""]"	null
literal:aece5f63584b992b538f762dbd6a16a200946d8148288621b8327122fd82a284	null	"[""boundary"",""maintainer adjudication: declared security or interface boundary""]"
literal:b4e37c9016ba90dd6510668d6972516c2cc2c0c385f9a19c9ce176e74af82afe	null	"[""boundary"",""maintainer adjudication: final-modules vendored-routing: Keeps workflow dedupe routed through the vendored shared detector.""]"
literal:be5f9a1a760cb02c3facd7469ca303a67eb83a4168d302f57c5a5ec586e56f93	"[""boundary"",""Retain executable/configuration contract: Implement reads implement_pr_state through config-get with ready_for_review as the lifecycle default.""]"	null
literal:c1208a0bb8d6599ef38978778f74636f91e58bf9f7c8c4eca176111be91184d9	null	"[""boundary"",""Retain operative cross-surface contract: #362: the Outcome-reaction removal targets the exact path the guard globs.""]"
literal:c4ad97236c92bf7e275d948f9d0edf780584a90c373a9c6520532db1eca1624a	"[""boundary"",""Retain operative cross-surface contract: #362: the Outcome-reaction removal targets the exact path the guard globs.""]"	null
literal:c9f1ba9756c0f80c0c1827672aa2ebc442c2ac979589210354bb2878ae2f5647	"[""boundary"",""maintainer adjudication: partial-discovery marker is an external-helper protocol boundary""]"	null
literal:cbc8cb5377deb2d71b0e0422a808836f90e478fd7b66a017df4377f04af5d5f2	null	"[""boundary"",""maintainer adjudication: declared security or interface boundary""]"
literal:cbcb459543069378cef946433f395222607b66723dfe7367a3ac2ddf2c76fac7	null	"[""boundary"",""maintainer adjudication: targeted efficiency persistence call is an external-helper boundary""]"
literal:d59db21a12dbcc981c1dab0a1399781d3dad65ef08b2d1f13a5c0cd9dbbb854d	"[""boundary"",""maintainer adjudication: review-and-fix FAIL_CLOSED: Provides the configuration-read failure breadcrumb.""]"	null
literal:d6b87bddcd25255b8c491661b353ec3b8074c56a7525f8dde622ff0d0d8effe5	"[""boundary"",""maintainer adjudication: declared security or interface boundary""]"	null
literal:d9b0df56acb1accf2918431f44f38f39f955b1962234b9c476056919a667a456	"[""boundary"",""maintainer adjudication: declared security or interface boundary""]"	null
literal:e8112579622995bacbc13dbf7cebf4eac163928d3c4b3a34a073b6d019d87362	"[""boundary"",""maintainer adjudication: review SL: stale-lint helper/sentinel boundary: #424 T12 Phase 0.6 pipes the cached diff into the helper (proven cloud shape)""]"	null
literal:e86fce0be1f4116f8dc81281108c4907d10179d9dcacb475635f03b24f0dffd5	null	"[""boundary"",""maintainer adjudication: declared security or interface boundary""]"
literal:ecc9216546e2d0b606b291f602d066313ae2d846e510bf731931304e50cbc7b4	"[""boundary"",""maintainer adjudication: discovery roots marker is an external-helper output boundary""]"	null
literal:f21b3fc56a9804ccaa05e46195a060c5a72b86139cd8ef49b882dd15758a6120	"[""boundary"",""maintainer adjudication: declared security or interface boundary""]"	null
literal:fccd1a779c5ea043d291389f70fd9aca2b805be11246df8941a05638a8f6e794	null	"[""boundary"",""Retain routing/state-transition contract: #815 the reference sources parent-derived slots from the Phase 1.1 cache.""]"
