adjudication_key	base_state	current_state
literal:53b97c011cb8d0d0ae7804d12e39f2b3986e5879e4390918d0571298d959f147	null	"[""boundary"",""maintainer adjudication (#946): newly visible; pins the pushback outcome in fixing.md for a prescription the source of truth contradicts. The behavior is recorded in CHANGELOG.md as shipped, but nothing parses the sentence, so it fails closed.""]"
literal:55ee86fd9dd710d8b28c099181180c22aeee513a0060481b5807de8bfe3995f0	null	"[""boundary"",""maintainer adjudication (#946): newly visible; pins the bound 'triggers **exactly one bounded re-dispatch**' in fix-delta-gate.md, the termination guarantee for the gate. Agent-read only; no executable consumer established, so it fails closed.""]"
literal:590a212499afd1d749aa8edb3fb543eaf15e3d1a2cd4db99aaef2989eac30aa6	null	"[""boundary"",""maintainer adjudication (#946): newly visible; pins the 'Block-presence gate (fail-closed on persistence, not just on value).' rule in shadow-review.md, which governs shadow prompt composition. A fail-closed condition stated only in prose; agent-read only, so it fails closed here too.""]"
literal:5b740804b4a0ab4215b3005d115e416cfd0c54415924f3a76645769c815b64fe	null	"[""boundary"",""maintainer adjudication (#946): newly visible; pins the provenance rule in shadow-review.md forbidding an inferred \""none\"" without live evidence. It is the unknown-is-not-zero discipline applied to shadow provenance; no parser reads it, so it fails closed.""]"
literal:5bdfcceae48b619df9e42ef5a59c2064e2336800cb093ec2194d9d26731d7744	null	"[""boundary"",""maintainer adjudication (#946): newly visible; pins the 'Telemetry, recovery, and continuation contracts' section heading in review-and-fix-contract.inventory.md. Same provenance-mapping role as the iteration-cap heading; no machine consumer established, fails closed.""]"
literal:5eed1e1a17f2922d4aa5214e0ae73e44e7b5ad7ac70775d2d21609fb5744088f	null	"[""boundary"",""maintainer adjudication (#946): newly visible; pins the 'automate changed-file-to-module routing' non-goal, which the implement and review-and-fix prompt extensions both carry. Two counted homes means the coupled-mirror discipline applies to it; no executable consumer established.""]"
literal:666daab044878f7aca005d7290c48cd5b0a27825a75d35bd085da7d360be5363	null	"[""boundary"",""maintainer adjudication (#946): newly visible; pins the 'Mechanism-scoped self-authored-claim re-sweep' name in skills/review-and-fix/references/fixing.md. The same name is carried by docs/DEVFLOW_SYSTEM_OVERVIEW.md and pinned from lib/test/run.sh, so it is a multi-home coupled label under the same-commit mirror discipline.""]"
literal:6cebe4699efd398a80a3e4f4f45ef596b30d11240d342c831895317645ed853a	null	"[""boundary"",""maintainer adjudication (#946): newly visible; pins the MAX_ITERS=5 default fallback in the same loop-control.md recipe. The value 5 is also asserted against .devflow/config.schema.json and config.example.json by executable assertions in this module, so the pin keeps the shipped recipe consistent with the schema default those assertions check.""]"
literal:6e93cea96dd91077575a425a39aa42cfa4dfa9cf46056a73be3f01951d1ec6ed	null	"[""boundary"",""maintainer adjudication (#946): newly visible; pins the scoping sentence in fix-delta-gate.md narrowing the re-review to this iteration's cumulative fix delta. The scope is what bounds the gate's cost; agent-read only, fails closed.""]"
literal:7248324416c743dbad6f79649a828c9d9b4ee71ebce5a78e111dd5935b395d83	null	"[""boundary"",""maintainer adjudication (#946): newly visible; pins the park-calibration gate heading in skills/review-and-fix/references/shadow-review.md. The heading is the anchor the gate's own sentinel and the fix loop refer to; read by the agent only, so it fails closed.""]"
literal:7282c43dcade533cebd9b596eae8a0a95aa398b281fdf25974babc9c780506d3	null	"[""boundary"",""maintainer adjudication (#946): newly visible; the only pin in this module that targets the review-engine bundle rather than the review-and-fix bundle: it pins 'keeps the full roster regardless of `iterations`' in skills/review/phases/phase-3-agents.md, so review-and-fix's recovery path depends on a rule owned by the shared engine. That cross-bundle coupling is the retention ground; no tool reads the sentence.""]"
literal:81fdb2545e56fbc00c0f1cb21a2aa44ae1a83b220c17fc5f1310696768fbc92d	null	"[""boundary"",""maintainer adjudication (#946): newly visible; pins the complementary limb in loop-exit.md that keeps a non-logs post-shadow commit tripping the unreviewed-edit gate. Paired with the exemption limb above and likewise named in the frozen red-on-removal retirement manifest; no executable consumer established.""]"
literal:a631724aecaf1c1476f2a7e00986f186abcd743f046bfbcf463dacf93f28a471	null	"[""boundary"",""maintainer adjudication (#946): newly visible; pins the mandatory clean sentinel 'park-calibration gate clean: no parked finding matched' that shadow-review.md requires an iteration record to carry. Historically it WAS observable in emitted run records, but #947 deleted the .devflow/logs/review/** artifacts that carried it, so the only live home outside the suite is the skill prose and no consumer reads the sentinel today; retained fail-closed.""]"
literal:a7429187058666b8e150f6aa27b4979299c1ef884d94c6fa8483efe9a89f5207	null	"[""boundary"",""maintainer adjudication (#946): newly visible; pins the over-grade calibration gate heading in shadow-review.md, the sibling anchor to the park-calibration heading. Agent-read only; no machine consumer established, so it fails closed.""]"
literal:be5ed25ad801ddde5e41af030f34022dbdb71ec2ca54aff9fd408954695bcfe3	null	"[""boundary"",""maintainer adjudication (#946): newly visible; pins the under-grade routing sentence in shadow-review.md that sends a parked finding back through Step 2.5 to Step 3 as a promoted iteration. This is loop-control behavior stated only in prose; no tool reads it, so it fails closed.""]"
literal:c09b19832a178813d1f4448956d0d3878031f352199d1285dbf9cc78861412a0	null	"[""boundary"",""maintainer adjudication (#946): newly visible; pins the scoped-staging prohibition ('Never use `git add -A` or `git add .` at the fix-commit step') in skills/review-and-fix/references/fixing.md. Instruction executed by the fix loop; no tool parses it, so it fails closed pending re-adjudication.""]"
literal:ca3b0f52b4825ae9572de9403a093983992d58902c082a66fe393ee52b077ca3	null	"[""boundary"",""maintainer adjudication (#946): newly visible; pins 'verify the prescription against its cited source of truth' in fixing.md, the instruction that stops a handoff prescription being applied unverified. Agent-read only; no machine consumer established, so it fails closed.""]"
literal:ca96b9d471c9636e273874811490e0fb61038b89037473681378c0ddcbee1d4a	null	"[""boundary"",""maintainer adjudication (#946): newly visible; pins the 'Guard-class shape 1' heading in this repo's consumer prompt extension .devflow/prompt-extensions/review-and-fix.md. Verified consumer of the FILE is scripts/load-prompt-extension.sh, whose bytes become the reviewer's appended prompt; the heading itself has no parser, so it fails closed.""]"
literal:cea06159cb781cabb8c95ab60d36e3623aa99f56736c8645311f903824a48597	null	"[""boundary"",""maintainer adjudication (#946): newly visible; pins the source-baseline commit 209b9e6c recorded in review-and-fix-contract.inventory.md, the extraction provenance for this module. Verified consumer of the FILE is test_module_runner.py, which requires modules/<id>.inventory.md to exist; no consumer of this SHA literal itself was established, so it fails closed.""]"
literal:d02750410c12631b93084de8bd3b24a45f589976bfa67cb122c02ec790c10461	null	"[""boundary"",""maintainer adjudication (#946): newly visible; pins the 'A nonempty skip tally is not clean.' rule, carried by both the implement and review-and-fix prompt extensions. It restates the issue-456 skip-accounting invariant that lib/test/run.sh's own summary implements; the prose copy has no parser, so the pin fails closed.""]"
literal:d69dbf9bdf18d7d4bb9f300062b90b73ec554750efcc2722f0240307b4777147	null	"[""boundary"",""maintainer adjudication (#946): newly visible; pins the 'Convergence, shadow, and re-sweep contracts' section heading in review-and-fix-contract.inventory.md. Same provenance-mapping role as the iteration-cap heading; no machine consumer established, fails closed.""]"
literal:d76b2c379e50996436efc965d52f12b13a03ce25079ba9a0856d66ff3690e973	null	"[""boundary"",""maintainer adjudication (#946): newly visible; pins the 'Guard-class shape 2' heading (the non-preflight PATH-tool guard class) in the review-and-fix prompt extension. Same loader-consumed file, same unparsed-heading status as shape 1, so it fails closed.""]"
literal:d838d658aa0fab35215391113e3c063c9845aa2ef14facdd5b3caf1fcf334fc7	null	"[""boundary"",""maintainer adjudication (#946): newly visible; pins 'Topic-priming is a second, distinct leak channel' in docs/DEVFLOW_SYSTEM_OVERVIEW.md, keeping the second shadow-leak channel visible in the canonical overview. Documentation prose with no machine consumer; retained fail-closed.""]"
literal:e5469ba0c3db76066cf7362d336de47d3e7b75c6c9825fd7257576c9c5e2a5c0	null	"[""boundary"",""maintainer adjudication (#946): newly visible; pins the finding rule in fixing.md that a comment still describing the pre-change mechanism is a finding. It is the re-sweep's operative verdict condition; read by the agent only, fails closed.""]"
literal:e9a982a86c964cf4d1e06fc60cbafe7896e98d8539a8c6bac7612a7730b11650	null	"[""boundary"",""maintainer adjudication (#946): newly visible; pins 'on **every iteration unconditionally**' in skills/review-and-fix/references/fix-delta-gate.md, the sentence that makes the fix-delta gate per-iteration rather than conditional. Behavioral rule in prose; no reader but the agent, so it fails closed.""]"
literal:ee5ce4b3f21f93db2804e05bd34182bea7cad772d19d919459a7b6f76af5fd0b	null	"[""boundary"",""maintainer adjudication (#946): newly visible; pins the 'Iteration cap and configuration resolution' section heading in review-and-fix-contract.inventory.md that maps this module's assertions back to their former run.sh location. Read by a human auditing the extraction; no machine consumer of the heading was established, so it fails closed.""]"
literal:f2eda3b0d61cfeb98a2a2ca040be742fcc8dabdbf184b3f4d9cd6a112aae7360	null	"[""boundary"",""maintainer adjudication (#946): newly visible; pins the limb in shadow-review.md that runs the park-calibration gate on the Step 4.5 early-exit path too. It closes the bypass the gate would otherwise have; agent-read only, fails closed.""]"
literal:fe2112c9ae0eb3dbab796e390972117c3f2f952f5c2b651f6555cb7f4b38fa4a	null	"[""boundary"",""maintainer adjudication (#946): newly visible; pins 'identifier-located, not hunk-located' in fixing.md, the sentence that sets the re-sweep's search strategy (and therefore what it can find). Agent-read only; no machine consumer established, so it fails closed.""]"
